video,file,legible,fps,mst,r,t,s,b,dg,pr1,n,bw,bp,p,m,d,bps_em,bps_pr,bps_lp,bps_wp,slv_b,slv_pb,slv_pm,slv_ps,lim,spl,v1,vrm,gov,thk,tic,vd1,thp,spr,seg,note
1PLAYER-DEBUG1,00.png,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"title-screen (overlay all-zero, not in-game)"
1PLAYER-DEBUG1,01.png,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,menu (choose skill level)
1PLAYER-DEBUG1,02.png,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,menu (choose skill level)
1PLAYER-DEBUG1,03.png,True,0.1,10000,9973,0,0,0.0,13/2,0.0,1,6.3,148.9,95.0,0.9,34,43.7,6.8,136.8,148.9,10,8,11.0,8.1,LIM vp0.0 ds0 ss0 zf635k lg370k,,V1 c120 B0 f10/0/0 LP100% ec4 ws480 tx6,VRM tx6/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e141 sb0 L0 i0 ws480,THK n196 mo0 ph0 sm0 mv0 pt0 w0 dc0,TIC th3 s0 x3.0 v429.0 sp1% sc0 ca4a,VD1 fb0/0 MP1 w0 6ms g0 Q17 E49/93,THp n0/0 d0 x0 m0 s0 l0 b0 r2 g0,SPR fl0.6 n13/2 th1/0 td0/0/0 fb1 o1,SEG c530 f365 k6 lk0,"first in-game frame, level just loaded (MST10000, 0.1fps); row0 ld197/ right-truncated by screen edge"
1PLAYER-DEBUG1,04.png,True,11.4,87,64,5,0,5.0,6/0,5.8,1,5.5,31.7,19.9,0.7,28,4.9,7.1,18.0,30.4,16,39,7.7,7.8,LIM vp21.0 ds34 ss6 zf631k lg228k,,V1 c98 B0 f10/0/0 LP100% ec32 ws480 tx6,VRM tx6/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-248 sb0 L0 i8 ws480,THK n151 mo2 ph0 sm1 mv0 pt0 w1 dc0,TIC th3 s0 x2.? v5.2 sp96% sc0 ca4a,VD1 fb0/0 MP1 w0 5ms g0 Q12 E31/96,THp n0/2 d0 x0 m0 s0 l0 b0 r12 g0,SPR fl0.5 n13/1 th2/0 td0/0/0 fb0 o1,SEG c530 f74 k1 lk0,row1 tail reads 'rs0.2  2' (stray trailing char at right edge); TIC x digit buried under HUD
1PLAYER-DEBUG1,05.png,True,8.0,125,94,7,0,4.3,8/0,6.0,1,3.5,25.1,16.3,0.7,13,4.2,10.0,48.5,65.1,10,40,9.2,6.5,LIM vp21.0 ds56 ss7 zf627k lg228k,,V1 c64 B104 f10/0/0 LP100% ec8 ws360 tx1,VRM tx10/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-16 sb0 L0 i8 ws360,THK n208 mo3 ph0 sm1 mv0 pt0 w1 dc0,TIC th5 s0 x4.0 v7.6 sp90% sc0 ca4a,VD1 fb0/0 MP1 w0 6ms g0 Q11 E44/92,THp n0/2 d0 x0 m0 s0 l0 b0 r35 g0,SPR fl0.5 n24/4 th1/0 td0/0/0 fb0 o0,SEG c725 f273 k4 lk0,row0 ld197/4 right-truncated
1PLAYER-DEBUG1,06.png,True,21.6,46,23,3,0,4.0,6/0,1.6,1,2.3,6.0,8.5,0.0,6,0.8,0.8,2.2,3.6,20,59,4.1,5.0,LIM vp11.0 ds7 ss2 zf627k lg228k,,V1 c20 B185 f10/0/0 LP100% ec32 ws480 tx,VRM tx10/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-344 sb0 L0 i8 ws480,THK n85 mo2 ph0 sm1 mv0 pt0 w0 dc0,TIC th2 s0 x1.? v2.7 sp106% sc0 ca4a,VD1 fb0/0 MP1 w0 3ms g0 Q2 E19/99,THp n0/2 d0 x0 m0 s0 l0 b0 r0 g0,SPR fl0.0 n8/0 th1/0 td0/0/0 fb0 o0,SEG c194 f0 k0 lk0,SLV row ends 'mw1 0' (extra token); V1 row cut at right edge (tx value off-screen); TIC x digit buried
1PLAYER-DEBUG1,07.png,True,18.7,53,32,3,0,3.5,3/0,2.2,1,1.1,16.1,7.2,0.1,6,0.8,1.5,23.2,25.5,14,36,,,LIM vp4.0 ds7 ss3 zf627k lg228k,,V1 c19 B32 f10/0/0 LP100% ec4 ws480 tx11,VRM tx11/26 bk1 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-712 sb0 L0 i8 ws480,THK n90 mo1 ph0 sm0 mv0 pt0 w0 dc0,TIC th2 s0 x1.? v3.2 sp94% sc0 ca4a,VD1 fb0/0 MP1 w0 16ms g0 Q5 E13/93,THp n0/2 d0 x0 m0 s0 l0 b0 r4 g0,SPR fl0.0 n2/0 th1/0 td0/0/0 fb0 o0,SEG c235 f85 k15 lk0,SLV Pm/Ps digits obscured by a bright sprite -> omitted; SLV row ends 'mw1 0'
1PLAYER-DEBUG1,08.png,True,7.7,129,82,8,0,3.4,26/0,10.5,1,8.6,25.7,37.8,1.3,,9.9,9.7,16.1,33.5,11,20,8.9,7.9,LIM vp28.0 ds52 ss7 zf626k lg228k,,V1 c174 B120 f10/0/0 LP100% ec4 ws200 tx,VRM tx18/26 bk1 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-430 sb0 L0 i8 ws200,THK n201 mo3 ph1 sm0 mv0 pt0 w1 dc0,TIC th6 s0 x3.8 v7.7 sp86% sc0 ca4a,VD1 fb0/0 MP1 w0 13ms g8 Q14 E24/54,THp n0/2 d0 x0 m0 s0 l0 b0 r12 g0,SPR fl0.3 n13/5 th2/0 td0/0/0 fb0 o0,SEG c937 f19 k0 lk0,row-2 d ambiguous (reads 43 or 48) -> omitted rather than guessed; V1 row cut at right edge
1PLAYER-DEBUG1,09.png,True,14.5,68,41,5,0,3.4,3/0,6.5,1,4.7,14.8,15.7,1.6,22,4.5,4.4,6.6,13.0,16,33,5.2,5.2,LIM vp16.0 ds37 ss5 zf6??k lg228k,,V1 c85 B79 f10/0/0 LP100% ec4 ws480 tx18,VRM tx18/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-23 sb0 L0 i24 ws480,THK n116 mo2 ph0 sm0 mv0 pt0 w0 dc0,TIC th3 s0 x2.8 v4.2 sp95% sc0 ca4a,VD1 fb0/1 MP1 w0 14ms g2 Q9 E22/82,THp n0/2 d0 x0 m0 s0 l0 b0 r151 g0,SPR fl1.6 n15/8 th3/0 td0/0/0 fb1 o0,SEG c461 f0 k0 lk0,LIM zf digits washed out by bright scenery
1PLAYER-DEBUG1,10.png,True,14.5,68,47,5,0,3.3,3/0,1.3,1,1.5,26.5,4.8,0.1,5,0.2,1.5,19.5,21.5,8,11,0.8,0.5,LIM vp3.0 ds3 ss2 zf627k lg228k,,V1 c8 B72 f10/0/0 LP100% ec19 ws480 tx18,VRM tx18/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-668 sb0 L0 i24 ws480,THK n112 mo2 ph0 sm0 mv0 pt0 w0 dc0,TIC th3 s0 x2.8 v4.1 sp100% sc0 ca4a,VD1 fb0/1 MP1 w0 8ms g1 Q0 E0/0,THp n0/4 d0 x0 m0 s0 l0 b0 r0 g0,SPR fl0.0 n6/0 th0/0 td0/0/0 fb0 o1,SEG c320 f70 k12 lk0,VD1 Q0 E0/0 while Bp26.5 / lp19.5 are high
1PLAYER-DEBUG1,11.png,True,15.5,64,45,4,0,3.2,2/0,3.4,1,3.2,12.0,14.9,0.4,13,2.3,2.7,7.3,12.0,22,67,3.1,10.0,LIM vp13.0 ds24 ss4 zf627k lg228k,,V1 c47 B47 f10/0/0 LP100% ec4 ws480 tx18,VRM tx18/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-205 sb0 L0 i24 ws480,THK n102 mo2 ph0 sm0 mv0 pt0 w0 dc0,TIC th2 s0 x2.1 v3.8 sp95% sc0 ca4a,VD1 fb0/1 MP1 w0 3ms g1 Q6 E28/98,THp n0/4 d0 x0 m0 s0 l0 b0 r24 g0,SPR fl0.0 n11/2 th0/0 td0/0/0 fb0 o1,SEG c218 f34 k0 lk0,SLV w6.8 mw6 -- only frame with a large slave wait
1PLAYER-DEBUG1,12.png,True,12.4,80,60,6,0,3.2,3/0,10.9,1,6.2,26.7,25.2,0.7,19,1.7,2.8,12.5,17.3,16,27,7.3,6.9,LIM vp9.0 ds14 ss2 zf627k lg228k,,V1 c43 B127 f10/0/0 LP100% ec33 ws480 tx,VRM tx18/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-878 sb0 L0 i24 ws480,THK n131 mo3 ph1 sm1 mv0 pt0 w0 dc0,TIC th4 s0 x2.8 v4.7 sp96% sc0 ca4a,VD1 fb0/1 MP1 w0 15ms g0 Q10 E45/93,THp n1/4 d0 x0 m0 s0 l0 b0 r60 g0,SPR fl0.1 n10/4 th3/0 td0/0/0 fb1 o1,SEG c433 f52 k2 lk0,SLV row ends 'mw0 0'; V1 row cut at right edge
1PLAYER-DEBUG1,13.png,True,7.9,126,96,11,0,3.2,6/0,11.6,1,7.2,50.6,31.0,0.6,33,4.4,6.2,33.5,44.3,11,29,8.9,9.1,LIM vp26.0 ds50 ss6 zf622k lg228k,,V1 c96 B168 f10/0/0 LP100% ec29 ws480 tx,VRM tx19/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-61 sb0 L0 i24 ws480,THK n200 mo4 ph1 sm1 mv1 pt0 w1 dc0,TIC th7 s0 x4.2 v7.5 sp97% sc1 ca4a,VD1 fb0/1 MP1 w0 3ms g0 Q16 E57/70,THp n1/4 d0 x0 m0 s0 l0 b0 r18 g0,SPR fl0.1 n23/3 th2/0 td0/0/0 fb2 o0,SEG c703 f190 k1 lk0,muzzle flash overlaps row0 but fps reads 7.9; V1 row cut at right edge
1PLAYER-DEBUG1,14.png,True,8.4,119,92,11,0,3.2,3/0,13.9,1,5.8,45.0,22.0,0.9,29,4.8,6.7,37.5,48.6,11,31,6.3,6.9,LIM vp18.0 ds30 ss4 zf622k lg228k,,V1 c88 B200 f10/0/0 LP100% ec32 ws480 tx,VRM tx19/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-102 sb0 L0 i24 ws480,THK n188 mo4 ph1 sm1 mv1 pt0 w1 dc0,TIC th7 s0 x3.8 v7.1 sp92% sc1 ca4a,VD1 fb0/1 MP1 w0 12ms g0 Q13 E41/61,THp n1/4 d0 x0 m0 s0 l0 b0 r29 g0,SPR fl0.4 n24/5 th3/0 td0/0/0 fb2 o0,SEG c756 f205 k2 lk0,V1 row cut at right edge
1PLAYER-DEBUG1,15.png,True,12.8,78,56,7,0,3.2,3/0,11.6,1,4.3,20.9,23.2,1.7,17,2.5,3.3,14.6,20.4,15,24,4.4,5.5,LIM vp12.0 ds18 ss4 zf623k lg228k,,V1 c55 B221 f10/0/0 LP100% ec32 ws480 tx,VRM tx19/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-655 sb0 L0 i24 ws480,THK n128 mo4 ph2 sm0 mv1 pt0 w0 dc0,TIC th4 s0 x2.8 v4.7 sp96% sc0 ca4a,VD1 fb0/1 MP1 w0 4ms g0 Q10 E24/60,THp n1/4 d0 x0 m0 s0 l0 b0 r93 g0,SPR fl0.3 n21/8 th1/0 td0/0/0 fb0 o0,SEG c446 f67 k0 lk0,V1 row cut at right edge
1PLAYER-DEBUG1,16.png,True,13.5,74,52,4,0,3.2,3/0,4.4,1,3.7,22.2,9.9,1.4,15,2.5,2.7,14.3,19.1,11,26,4.2,2.6,LIM vp15.0 ds23 ss3 zf623k lg228k,,V1 c52 B234 f10/0/0 LP100% ec32 ws480 tx,VRM tx19/26 bk0 q0 cb0/0 lb20:0/0/0.0,GOV d- w0 p0 e-668 sb0 L0 i24 ws480,THK n112 mo2 ph0 sm0 mv0 pt0 w0 dc0,TIC th2 s0 x2.8 v4.4 sp100% sc0 ca4a,VD1 fb0/1 MP1 w0 16ms g0 Q7 E24/88,THp n1/4 d0 x0 m0 s0 l0 b0 r76 g0,SPR fl0.5 n13/5 th1/0 td0/0/0 fb0 o1,SEG c388 f69 k1 lk0,V1 row cut at right edge
